text,label
pelayanan petugas sangat ramah dan membantu,positif
respon cepat dan solutif terima kasih,positif
petugas sigap dalam menangani masalah,positif
sangat puas dengan pelayanan yang diberikan,positif
proses administrasi cepat tidak berbelit,positif
terima kasih atas bantuan yang luar biasa,positif
petugas sopan dan murah senyum,positif
penanganan kebakaran sangat profesional,positif
salut dengan kinerja tim damkar,positif
pelayanan prima top banget,positif
petugas datang tepat waktu sangat membantu,positif
admin responsif menjawab pertanyaan,positif
solusi yang diberikan sangat efektif,positif
pelayanan terbaik yang pernah saya rasakan,positif
sangat menghargai kerja keras petugas,positif
tim evakuasi bekerja dengan hati hati,positif
fasilitas pelayanan sangat memadai,positif
keramahan petugas membuat nyaman,positif
koordinasi tim sangat bagus,positif
pelayanan gratis tapi kualitas bintang lima,positif
cepat tanggap panggilan darurat,positif
petugas sangat informatif dan jelas,positif
layanan call center sangat membantu,positif
evakuasi hewan liar berjalan lancar,positif
terima kasih bapak petugas yang baik hati,positif
pelayanan lambat sekali membuat kesal,negatif
petugas judes dan tidak ramah,negatif
respon sangat lama ketika dihubungi,negatif
sangat kecewa dengan penanganan petugas,negatif
solusi yang diberikan tidak membantu sama sekali,negatif
administrasi ribet dan membingungkan,negatif
petugas datang terlambat parah,negatif
tidak ada koordinasi yang jelas di lapangan,negatif
call center susah dihubungi,negatif
pelayanan mengecewakan tidak sesuai harapan,negatif
petugas kasar saat melayani warga,negatif
birokrasi berbelit belit menyusahkan,negatif
penanganan sangat lamban dan tidak profesional,negatif
petugas terlihat malas malasan,negatif
tidak ada respon dari pihak terkait,negatif
sangat buruk pelayanannya kapok,negatif
peralatan petugas kurang memadai,negatif
petugas tidak paham prosedur,negatif
lapor kebakaran tapi responnya lama,negatif
petugas tidak ramah sama sekali,negatif
pelayanan kantor sangat tidak efisien,negatif
kecewa berat dengan kinerja petugas,negatif
tidak ada empati dari petugas,negatif
sistem pelayanan kuno dan lambat,negatif
petugas main hp terus saat jam kerja,negatif
pelayanan standar sesuai prosedur,netral
petugas bekerja sesuai sop,netral
cukup membantu meski agak lama,netral
prosesnya lumayan tidak terlalu buruk,netral
pelayanan biasa saja tidak istimewa,netral
respon standar saja,netral
petugas formal dan kaku,netral
pelayanan cukup memadai,netral
administrasi berjalan normal,netral
penanganan standar saja,netral
cukup baik untuk pelayanan publik,netral
petugas menjalankan tugasnya,netral
tidak ada keluhan berarti,netral
pelayanan sesuai jam kerja,netral
respon cukup oke,netral
fasilitas ruang tunggu standar,netral
pelayanan rata rata pada umumnya,netral
prosedur pelayanan sudah jelas,netral
cukup informatif penjelasannya,netral
pelayanan sesuai standar minimal,netral
respon pemadam kebakaran sangat cepat sampai lokasi,positif
petugas berhasil menyelamatkan kucing saya dari atas pohon,positif
sangat berterima kasih atas bantuan evakuasi sarang tawon,positif
telepon tidak diangkat padahal keadaan darurat,negatif
datang ke lokasi tapi tidak bawa peralatan lengkap,negatif
petugas minta uang tip padahal katanya gratis,negatif
laporan sudah diterima dan sedang diproses,netral
menunggu kedatangan petugas di lokasi,netral
proses pemadaman berlangsung sekitar satu jam,netral
sosialisasi pencegahan kebakaran cukup bermanfaat,positif
